#功体编号	功体名称	功体叙述	提升叙述	每次重数提升能力	最高重数提升能力	经验曲线	图片icon	效果	开启条件	效果	开启条件	效果	开启条件	效果
#ID	Name	Desc	sUpgradeNotes	LevelUP	MaxUP	iExp	sIcon1	ConditionEffectID1	sConditions	ConditionEffectID2	sConditions	ConditionEffectID3	sConditions	ConditionEffectID3
60011	八卦心法	走如风，站如钉，扣摆转换步法清。腰为纛，气为旗，眼观六路手足先。行如龙，坐如虎，动似江河静如山。阴阳手，上下翻，沉肩坠肘气归丹。抱六合，勿散乱，气遍身躯得自然。扣摆步，仔细盘，转换进退在腰间。	气血+90，内力+40<br>满重增益：反击+5%，暴击+5%	(1,90)*(3,40)	(53,5)*(52,5)	7	NeigongImage33	100060	(10,0,60011,1)	100069	(10,0,60011,7)	100034	(10,0,60011,10)	987024
60012	千仞诀	点苍派心法，点苍山山云景变幻万千，所以其武学也千变万化，令对手捉摸不定。	气血+100，内力+50<br>满重增益：暴击+5%，移动+1	(1,100)*(3,50)	(53,5)*(4,1)	7	NeigongImage33	100017	(10,0,60012,1)	100041	(10,0,60012,7)	100034	(10,0,60012,10)	987009
60013	毒龙功	毒龙教必修功法，引各种毒虫噬咬，让毒素入体，藉毒锻炼内力。久而久之便能免疫多数毒物，且内功也会带有毒性。此功练到精深时，甚至可以将诸般蛊毒融于体内。	气血+40，内力+40<br>满重增益：闪避+10%，气血+300	(1,42)*(3,24)	(51,10)*(1,300)	4	NeigongImage33	100062	(10,0,60013,1)	100061	(10,0,60013,7)	100064	(10,0,60013,10)	987009
60014	七弦神功	弦剑山庄的镇派心法，取意自七种与乐音有关的典故。心法要旨乃将乐音与内功相结合，以此扰敌，甚至伤敌于无形。第七重伯牙绝弦号称一曲既终，万籁俱寂。昔年弦剑山庄第二任庄主便曾以此扬名天下，但在他之后再无人达到此境界。	气血+100，内力+50<br>满重增益：暴击+5%，反击+5%，闪避+5%，移动距离+1	(1,100)*(3,50)	(4,1)*(12,5)	8	NeigongImage33	100048	(10,0,60014,1)	100141	(10,0,60014,7)	100142	(10,0,60014,10)	987024
60015	武当九阳神功	武当九阳功，本与少林、峨眉两派之九阳功系出同源，三派过去在因缘际会下各自录去部分九阳功。武当祖师张三丰时当年幼，故所习得九阳功最为精纯。张三丰以九阳功的武学理论与内功要旨为基础，开创了武当一派。而武当九阳功经由一代宗师张三丰百余年间不断完善，隐隐比峨眉、少林两派高出一头。	气血+70，内力+70<br>满重增益：暴击+5%，气血+300[-][/c]<br>一重：回复 七重：暴击后左右互搏 十重：必中	(1,70)*(3,70)	(53,5)*(1,300)	7	NeigongImage33	100025	(10,0,60015,1)	100070	(10,0,60015,7)	100039	(10,0,60015,10)	987024
60016	武当九阳玄功	武当九阳功，本与少林、峨眉两派之九阳功系出同源，三派过去在因缘际会下各自录去部分九阳功。武当祖师张三丰时当年幼，故所习得九阳功最为精纯。张三丰以九阳功的武学理论与内功要旨为基础，开创了武当一派。而武当九阳功经由一代宗师张三丰百余年间不断完善，隐隐比峨眉、少林两派高出一头。	气血+120，内力+40<br>满重增益：反击+10%，气血+500	(1,120)*(3,40)	(52,10)*(1,500)	7	NeigongImage33	100025	(10,0,60016,1)	500016	(10,0,60016,7)	100013	(10,0,60016,10)	987024
60017	降魔功	青城派武功源于道家一脉，属正一道，青城派始祖据说便是道教天师张陵。张陵少时于山中吐纳练气，见蛟与虎相搏于谷中，以此受到启发，得悟出一门练气功法。将真气化为清浊二分，于丹田处融合交会，生克之间，既能压制修练时的心魔干扰，更能激发出所有潜力。奈何自三国后佛教渐兴，唐朝民间笃信佛教，数次佛道之争，导致经文残缺佚失，一部绝世内功流传至今已十不存一。	气血+90，内力+50<br>满重增益：气血+300，内力+200	(1,90)*(3,50)	(1,300)*(3,200)	6	NeigongImage33	100029	(10,0,60017,1)	100028	(10,0,60017,7)	100039	(10,0,60017,10)	987009
60018	神剑诀	铸剑山庄先祖传下的一套使剑心法，据传乃是先祖研习独孤九剑的心得概要，仅能配合剑法使用，是故铸剑山庄中人大多配剑。然而铸剑山庄数十年前因遭逢巨变，不再以修习武艺为主，改专精于铸剑之后，此套心法便因修习之人日益减少，而渐趋失传。	气血+60，内力+40<br>满重增益：气血+300，抗暴+10%	(1,60)*(3,40)	(1,300)*(57,10)	5	NeigongImage33	100017	(10,0,60018,1)	100048	(10,0,60018,7)	100016	(10,0,60018,10)	987024
60019	天山心法	何傲天自石洞中得到的武功心法，行功之法与逍遥派武学颇有异曲同工之妙。在自身丹田中凝聚内力，使其盘桓不散，并将外敌所击来的真气卸开化去，令其难以伤己。恰如风雪乍停，明月出岫，哪怕风雪再大，终究无法永远遮掩那轮明月。精擅此功者，与功力相若之人对拚内力，往往能因其功法特性而立于不败之地。	气血+60，内力+40<br>满重增益：闪避+5%，气血+200，内力+200	(1,60)*(3,40)	(51,5)*(1,200)*(3,200)	6	NeigongImage33	100050	(10,0,60019,1)	100077	(10,0,60019,7)	100039	(10,0,60019,10)	987009
60020	少林九阳功	少林九阳功，本与武当、峨眉两派之九阳功系出同源，三派过去在因缘际会下各自录去部分九阳功。当时得闻经文的少林寺禅师武功极高，高屋建瓴，故得九阳功之「高」。少林九阳功与精纯浑厚的武当九阳功相比，随不及其醇厚，但光论其发力运劲之法，却有其独到精妙之处。	气血+120，内力+60<br>满重增益：抗反+10%，抗暴+10%，气血+200	(1,120)*(3,60)	(57,10)*(56,10)*(1,200)	7	NeigongImage33	100049	(10,0,60020,1)	100018	(10,0,60020,7)	100030	(10,0,60020,10)	987024
60021	峨嵋九阳功	峨嵋九阳功，本与少林、武当两派之九阳功系出同源，三派过去在因缘际会下各自录去九阳功之一部。峨嵋派祖师所学甚广，得九阳功之博，功法虽不如少林、武当二派精纯，然而论法门之多样奥妙，峨眉派乃三派九阳功之首。	气血+100，内力+50<br>满重增益：反击+10%，移动距离+1	(1,100)*(3,50)	(4,1)*(52,10)	6	NeigongImage33	100059	(10,0,60021,1)	100029	(10,0,60021,7)	100013	(10,0,60021,10)	987024
60022	霹雳心法	霹雳堂流传的内功，据说为孔巴拉所创，经上文字叙述奇诡莫明，原本只限定教主方能得传。但霹雳堂经舞秋风之乱，堂主意外失踪，这套功法几已失传，只留下部分残篇与历代堂主的修练心得。秦斯龙接掌堂主后，便把残篇公开给霹雳堂众人学习。	气血+80，内力+30<br>满重增益：暴击+5%，内力+300	(1,80)*(3,30)	(53,5)*(3,300)	4	NeigongImage33	100065	(10,0,60022,1)	100035	(10,0,60022,7)	100034	(10,0,60022,10)	987009
60023	金风心法	金风镖局的内功心法，取西方神兽白虎之形象，主刀兵肃杀。要旨为如虎踞高岗长啸，猛扑猎物之势，锐不可挡。以此心法御使大刀最为得心应手。	气血+70，内力+30<br>满重增益：闪避+5%，气血+200，内力+200	(1,70)*(3,30)	(51,5)*(1,200)*(3,200)	5	NeigongImage33	100077	(10,0,60023,1)	500018	(10,0,60023,7)	100045	(10,0,60023,10)	987009
60024	清心普散咒	此心法源自于琴曲，经百花楼历代掌门人之手，蜕变成一套特异的内功。修习此内功需佐以音律，以特殊方法弹奏此曲，可逐步提升自己修为。且清心普善咒本就有压制心魔，遏止真气骚乱的效用，能令修练者安然渡过修练时所遇上的艰险瓶颈。	气血+90，内力+40<br>满重增益：闪避+5%	(1,90)*(3,40)	(51,5)	6	NeigongImage33	100038	(10,0,60024,1)	100029	(10,0,60024,7)	100053	(10,0,60024,10)	987009
60025	五毒心经	毒龙教宝典，内里记载天下诸般蛊毒炼制法，以及各式毒功，无所不包。甚至可将人练成传说中的五毒赤焰体。但此经已被人盗走，五毒教正在倾全力追寻此本毒经下落。	气血+150，内力+100<br>满重增益：气血+300，内力+200	(1,150)*(3,100)	(1,300)*(3,200)	6	NeigongImage33	100062	(10,0,60025,1)	100063	(10,0,60025,7)	100064	(10,0,60025,10)	987024
60026	兽王功	兽王庄武学招式俱来自于野兽，而人碍与自身所限，虽能模仿野兽之形，却无法如同野兽那般或灵动、或力拔千钧、或威猛无俦。兽王功正是兽王庄为克服此弱点而创的内功法诀。可以说，凡是兽王庄中人都必须修练此套心法，否则无法习得本门最高深的招式。	气血+80，内力+40<br>满重增益：暴击+5%，气血+300，内力+200	(1,80)*(3,40)	(53,5)*(1,300)*(3,200)	7	NeigongImage33	100031	(10,0,60026,1)	100032	(10,0,60026,7)	100052	(10,0,60026,10)	987009
60027	九纹龙啸功	史义过去落难在南海上某孤岛时，意外找到的武功秘籍。功法共分九层，以长啸激发内力，让内劲在胸腹间鼓荡，获得爆发性的力量提升。可惜他捡到的这本密笈后半已被海水尽失，字迹已不可考，只余前面两重的字迹勉强可辨识。	气血+80，内力+40<br>满重增益：暴击+5%，气血+300，内力+200	(1,80)*(3,40)	(53,5)*(1,300)*(3,200)	8	NeigongImage33	100067	(10,0,60027,1)	100058	(10,0,60027,7)	100028	(10,0,60027,10)	987009
60028	忘忧心法	据传当年曾有三位前辈高人隐居于此，并将自己一生武学精要与人生感悟录于谷中一块大白石上，其中有一段文字提及：「与杨施主华山一行后，便隐居于百花谷，不闻世事，忘忧问道。」其后多有高手隐士于此避世，也俱在白石上留下毕生所学。之后有人据石上所刻，将此谷易名为忘忧谷，而石上所刻诸般武学，则被称为忘忧心法。是故，忘忧心法不单是一家一派所学。	气血+50，内力+30<br>满重增益：闪避+5%，抗爆+5%，气血+300	(1,50)*(3,30)	(51,5)*(57,5)*(1,300)	3	NeigongImage33	100025	(10,0,60028,1)	100059	(10,0,60028,7)	100147	(10,0,60028,10)	987024
60029	太易星辰诀	塔娅自星象塔中自悟的一套心法。脱胎于阿拉伯星象学与黄道十二宫，并融合了中国周易以及鬼谷子策略。其中道理博大精深，复杂难解。主要是用以辅佐塔娅的另外一套数术要诀「万物皆数」。两相结合之下，让塔娅能仅凭推演便能理解各种武学招式的变幻，乃至于内功运行之法。	气血+40，内力+60<br>满重增益：气血+300	(1,40)*(3,60)	(1,300)	4	NeigongImage33	100019	(10,0,60029,1)	100049	(10,0,60029,7)	100077	(10,0,60029,10)	987009
60030	万物皆数	传说中数术大师霍无俦所创，此人曾是桃花岛主，东邪之师，是个融会中西方学问的大贤者，亦是武功极高之人。其根据哲学、武道与数学所创出的「万物皆数」，强调任何招式都有迹可循，只要算出对方的下一步动作，便能先发制人，与独孤九剑颇有异曲同工之妙。	内力+50<br>满重增益：内力+500[-]	(3,50)	(3,500)	5	NeigongImage33	100044	(10,0,60030,1)	100064	(10,0,60030,7)	0	(10,0,60030,10)	987009
60031	飞燕功	史燕自创的内功，刺激腿足的诸关窍穴道，激发出更快的速度。短时间内可奔行如飞，且进退趋避如燕雀般灵活。	气血+40，内力+30<br>满重增益：闪避+10%	(1,40)*(3,30)	(51,10)	4	NeigongImage33	100040	(10,0,60031,1)	100014	(10,0,60031,7)	100039	(10,0,60031,10)	987009
60032	隐元韬晦诀	隐元阁特有的内功心法。此心法与其说是修练功法，不如说是疏导或辅助真气的运行。倘若是身负严重内伤、走火入魔、体内真气失控或是体内具有他人灌入的异种真气者修习，能大有裨益。但对于普通人来说，只是一门尚佳的练气法门。似乎藏有隐密……	气血+10，内力+10<br>满重增益：气血+2000，内力+2000	(1,10)*(3,10)	(1,2000)*(3,2000)	10	NeigongImage33	100130	(10,0,60032,1)	100131	(10,0,60032,7)	100133	(10,0,60032,10)	987009
60033	无涯古圣功	岳晓遥游历时和诸多高人切磋交手，从而体悟的一套旷古绝今的绝世内功心法。此内功基础出于道家，兼容儒、释各家，只需小成，不论何门何派武学，皆可信手捻来，毫无滞塞。据说，此功法之名亦是岳晓遥为了纪念启发他的恩人，而刻意以恩人的名字谐音命名。但又有一说，此功法流传了上百年，但岳晓遥年纪却不过三十开来。究竟事实为何？恐怕也无人知晓了。	气血+300，内力+100<br>满重增益：暴击、反击、闪避+50%	(1,300)*(3,100)	(51,50)*(52,50)*(53,50)	10	NeigongImage33	500015	(10,0,60033,1)	500013	(10,0,60033,7)	500016	(10,0,60033,10)	910069
60034	清心诀	峨嵋派多为女弟子，武功路子虽属佛门正宗，却偏阴柔。冰心诀正是为了让峨嵋女弟子更易于修炼，而诞生的一套内功。此套功法循序渐进，修行时能宁心定神，可堪称江湖上一流的内功心法。	气血+50，内力+20<br>满重增益：气血+300	(1,50)*(3,20)	(1,300)	3	NeigongImage33	100011	(10,0,60034,1)	100044	(10,0,60034,7)	0	(10,0,60034,10)	987009
60035	紫霞神功	华山派的镇派心法，在江湖上享誉已久，人道：『华山九功，第一紫霞』。初时若有若，宛若云霞。而一旦水到渠成，则铺天盖地，势不可挡。发功之人脸上会闪现紫气，故由此得名紫霞。	气血+120，内力+150<br>满重增益：气血+300，反击+10%	(1,120)*(3,150)	(1,300)*(52,10)	9	NeigongImage33	100037	(10,0,60035,1)	100021	(10,0,60035,7)	100043	(10,0,60035,10)	987024
60036	血刀经	血刀门赖以成名的绝技，此经不单单是内功运用心法，更能配合血刀刀法施展，乃是一门专门用以御使血刀刀法的独特内功。	气血+120，内力+30<br>满重增益：内力+300，暴击+5%	(1,120)*(3,30)	(3,300)*(53,3)	6	NeigongImage33	100035	(10,0,60036,1)	100065	(10,0,60036,7)	100016	(10,0,60036,10)	987009
60037	野拳神功	据传为当年小虾米大侠所创的内功，于发劲一途上别出心裁。然而由于之后野拳门传人皆资质平庸，这套神功也随之蒙尘，更有许多关窍处已经失传，不复当年威名。	内力+100，暴击+2%<br>满重增益：暴击+10%	(53,2)*(3,100)	(53,10)	8	NeigongImage33	910031	(10,0,60037,1)	987210	(10,0,60037,7)	987211	(10,0,60037,10)	987024
60038	莲花经	丐帮成员多是乞儿，目不识丁，修练的内功口诀自然不会文辞精妙。莲花经便是根据乞丐乞讨时常唱的莲花落改成，乃是丐帮入门心法。	气血+70，内力+40<br>满重增益：闪避+5%，气血+300，内力+100	(1,70)*(3,40)	(51,5)*(1,300)*(3,100)	6	NeigongImage33	100101	(10,0,60038,1)	0	(10,0,60038,7)	0	(10,0,60038,10)	987009
60039	金刚不坏体	少林派的顶级外功，初练时会有数个罩门，随着修为高低而渐趋减少。一旦罩门被破，重则丧命，轻则武功尽失。但一旦此功大成，会犹如被一金铸大钟包覆，宝刀宝剑难伤。但此法易学难精，真正练到周身无罩门者鲜矣。此功法可说是由外而内的武功心法。	气血+140，内力+50<br>满重增益：气血+500	(1,140)*(3,50)	(1,500)	7	NeigongImage33	100051	(10,0,60039,1)	100018	(10,0,60039,7)	100012	(10,0,60039,10)	987024
60040	罗汉降魔功	由金刚伏魔圈演变而来的内功，浩荡正大，至刚至阳，尽显佛门护法之威仪。此功法善于克制邪派武学，可说是不亚于七十二绝技的至高心法。唯一可惜处便是此功法修习极为艰难，若不得体悟罗汉护法真意，怕是终生无法寸进。	气血+120，内力+50<br>满重增益：气血+300，内力+200	(1,120)*(3,50)	(1,300)*(3,200)	8	NeigongImage33	100036	(10,0,60040,1)	100051	(10,0,60040,7)	100034	(10,0,60040,10)	987024
60041	修罗心法	阿修罗将修罗宫原本的心法大幅改进补遗后，仍以修罗心法为名。但运使内功之法已大异其趣，远较原本的更为狠辣强悍。	气血+100，内力+50<br>满重增益：暴击+10%	(1,100)*(3,50)	(52,10)	5	NeigongImage33	987204	(10,0,60041,1)	987205	(10,0,60041,7)	987206	(10,0,60041,10)	987024
60042	华陀医典	传说华陀亲手所书青囊经已被昔年看守的狱卒焚去，曹操亡故后，其子曹丕遣人搜罗华佗为人医治奇症杂病的经历，集结为医典。但后世多以为此书乃是一代名医托名华陀所著。	气血+150，内力+70<br>满重增益：气血+300	(1,150)*(3,70)	(1,300)	5	NeigongImage33	100029	(10,0,60042,1)	100064	(10,0,60042,7)	100077	(10,0,60042,10)	987009
60043	道生一	西方贤者所创的武功，原名『一为全，全为一』。塔娅受中原文化熏陶，决此名略显不雅，故意译为『道生一』。此武功根源于哲学，需勘透万物本质，以本质为一，而衍生诸般万象。	气血+150，内力+60<br>满重增益：抗暴、抗反+60%	(1,150)*(3,60)	(56,60)*(57,60)	7	NeigongImage33	100082	(10,0,60043,1)	100019	(10,0,60043,7)	0	(10,0,60043,10)	987009
60044	玉女心法	古墓派祖师所创，行功法门别开蹊径，需二人同练，互为臂助，否则立时有走火入魔之险。前六重心法都是专为克制全真派武学，但到了第七重却转为与全真派武学互补。	气血+80，内力+40<br>满重增益：闪避+10%	(1,80)*(3,40)	(51,10)	5	NeigongImage33	100079	(10,0,60044,1)	100040	(10,0,60044,7)	100014	(10,0,60044,10)	987024
60045	龙蛰功	东南海中有民，善渔，可潜水数时辰而不需上浮换气，谓之鲛人。其实所谓鲛人，乃是修习了一部极为特异的功法，吸气入体，散之五脏储存，是以可以长时间闭气。	气血+80，内力+40<br>满重增益：气血+200，内力+180	(1,80)*(3,40)	(1,200)*(3,180)	4	NeigongImage33	100011	(10,0,60045,1)	100034	(10,0,60045,7)	0	(10,0,60045,10)	987009
60046	金蛇宝典	相传为金蛇郎君所遗之秘籍，不仅有剑法，更记载二十四枚金蛇锥锥法、拳掌，乃至破五行阵之法。可谓集金蛇郎君毕生所学之大全。曾有武林高手得以一观此宝典，叹道：金蛇郎君，不啻为一代怪杰。	气血+100，内力+50<br>满重增益：闪避+10%	(1,100)*(3,50)	(51,10)	8	NeigongImage33	100014	(10,0,60046,1)	100033	(10,0,60046,7)	100039	(10,0,60046,10)	987024
60047	如月宝鉴	此功法极为特异，乃是加强修练者对内力的精确应用。修练此功法并不会增强内力修为，但大多数人凡是使用内劲，或多或少都会因为发力运用的不完美，而导致内力有所溢散，而如月宝鉴能大大补丸此一缺陷。此功分为弦月、半月、圆月三种，分别对应三成、五成、全力。	气血+100<br>满重增益：命中+10%，暴击+5%，闪避+5%，反击+5%	(1,50)	(53,5)*(55,10)*(51,5)*(52,5)	5	NeigongImage33	987232	(10,0,60047,1)	987233	(10,0,60047,7)	987234	(10,0,60047,10)	987024
60048	灵飞经	一门提升纵越闪避的特殊内功，不仅庭除廊庑之间驱退若神，长途竞走亦是奔行如飞。此功练成后，草上飞、一苇渡江自不用说，纵跃时在无可借力的半空中可再一次上窜或改换方向，如凌虚御空。	气血+40，内力+35<br>满重增益：闪避+5%[-][/c]<br>一重：闪避后噬气 七重：闪避后聚气	(1,40)*(3,35)	(51,5)	3	NeigongImage33	100073	(10,0,60048,1)	100074	(10,0,60048,7)	0	(10,0,60048,10)	987009
60049	地煞无极功	七十二地煞乃凶杀大恶之星。此功法取其义，集结地煞七十二术诸般阴毒狠辣之法而成，威力无俦，故又名之谓无极。行功之时，因七十二术中有掩日、假形等法门，便是使得如同正道耆宿般正气浩然，亦不是不可能。	气血+120，内力+50<br>满重增益：气血+500	(1,120)*(3,50)	(1,500)	10	NeigongImage33	987235	(10,0,60049,1)	500089	(10,0,60049,7)	987236	(10,0,60049,10)	910069
60050	沧海一笑	一代怪儒所创的特殊功法，吸气入肚腹之中，以真气使之鼓荡，再以内力扬声长笑的同时吐出，以此震晕敌人。	气血+50，内力+30<br>满重增益：命中+12%	(1,50)*(3,30)	(55,12)	8	NeigongImage33	900009	(10,0,60050,1)	910097	(10,0,60050,7)	100025	(10,0,60050,10)	987009
60051	白首太玄经	无名荒岛上洞窟内石壁上所记载的一套绝世神功，石壁上所刻乃是李白的侠客行五言古诗，古诗共二十四句，亦有二十四间石室，诗文旁批注乃是为误导参悟者，若照批注修练，有害而无益。修习此法的真正关键不在于文字，而在于图像与笔画走势。	气血+250，内力+200<br>满重增益：反击+10%，暴击+10%	(1,250)*(3,200)	(52,10)*(53,10)	10	NeigongImage33	987207	(10,0,60051,1)	987208	(10,0,60051,7)	987209	(10,0,60051,10)	910069
60052	九阳神功	此功是夹藏于梵语楞伽经，以中文书就，个中道理并非单出自佛门，乃是博取诸家，融会贯通，集一切武学之至理。也因此，神功大成后，天下诸般武学皆可取而用之。九阳神功性属至阳，却非独阳，刚柔并济，练成后百毒不侵，更是一切寒毒与阴寒内力的克星。	气血+250，内力+100<br>满重增益：气血+500，内力+200	(1,250)*(3,100)	(1,500)*(3,200)	11	NeigongImage33	910168	(10,0,60052,1)	910169	(10,0,60052,7)	910170	(10,0,60052,10)	910069
60053	洗髓经	与易筋经并列少林七十二绝技。此门功法乃是由外而内，先强身，后练筋骨，再强化五脏六腑，终至洗髓。过程中内功自成，练至高深处，便是不动用真气，随意一击都能有数人合力之威。	气血+200，内力+180<br>满重增益：气血+500，内力+250	(1,200)*(3,180)	(1,500)*(3,250)	10	NeigongImage33	987216	(10,0,60053,1)	100054	(10,0,60053,7)	987217	(10,0,60053,10)	910069
60054	东方宝典	日出东方，生生不息，此功宗旨可概括为一句。习练此功，内力的运转更为圆融，且可用内力刺激自身，增进气血的回复能力。虽非绝顶功法，但其功效不容小觑。	气血+90，内力+50<br>满重增益：抗暴、抗反、命中+10%	(1,90)*(3,50)	(55,10)*(56,10)*(57,10)	6	NeigongImage33	100025	(10,0,60054,1)	100024	(10,0,60054,7)	100038	(10,0,60054,10)	987009
60055	金雁功	全真派的一门内功，藉由吐息来锻炼轻身功夫。最终提气纵越能如金雁横空，在江湖上名头不下于武当梯云纵。	气血+50，内力+40<br>满重增益：闪避+5%，移动格数+1	(1,50)*(3,40)	(4,1)*(51,5)	5	NeigongImage33	100077	(10,0,60055,1)	987214	(10,0,60055,7)	500176	(10,0,60055,10)	987009
60056	虎啸功	虎啸龙腾，向来为中国武学两大形意。虎啸功为金刀王家的独有内功，出招时藉由吐气吶喊，让筋力得以倍增，极为霸道。但也如狂风骤雨般虽声势浩大，难以抗衡，却同样无法持久，如遇上内力悠长，善于守备的对手，便难以发挥自身所长。	气血+90，内力+40<br>满重增益：气血+400	(1,90)*(3,40)	(1,400)	6	NeigongImage33	100068	(10,0,60056,1)	100065	(10,0,60056,7)	100015	(10,0,60056,10)	987024
60057	禅宗莲华功	与少林同源的禅宗佛门功夫，但更强调直指人心，见性成佛。相传为中国唐代时的一位高僧所著，此书不仅是武学心法，亦阐扬佛理。经文言简意赅，以个人物性解读有所不同，所能体悟修练的境界亦有高低之分。	气血+70，内力+30<br>满重增益：气血+200	(1,70)*(3,30)	(1,200)	3	NeigongImage33	100025	(10,0,60057,1)	100050	(10,0,60057,7)	100028	(10,0,60057,10)	987009
60058	吸星大法	此套功法可吸收他人之内力以为己用，或将真气排出。由大理段氏残存的北冥神功及星宿派化功大法融合为一，主要承传自化功大法一支，称为吸星大法。	内力+150<br>满重增益：暴击+5%，抗暴+10%	(3,150)	(53,5)*(57,10)	6	NeigongImage33	100020	(10,0,60058,1)	100047	(10,0,60058,7)	100046	(10,0,60058,10)	987024
60059	太极神功	武当祖师张三丰所创，乃是内家心法的表率，也是第一等的内功。与寻常武学理论大不相同，讲究阴阳相济，以柔韵刚，以慢御快。太极功寓至繁于至简中，经文浅显易懂，寻常人亦可轻易学习入门功法，以此练气养生。	气血+120，内力+50<br>满重增益：反击+10%	(1,120)*(3,50)	(52,10)	7	NeigongImage33	100021	(10,0,60059,1)	100026	(10,0,60059,7)	100043	(10,0,60059,10)	987024
